July 24, 2026   16:29:29
Amperometric i-t Curve
File: 260724_samples100ul
Data Source:  Experiment
Instrument Model:  CHI1000B
Header: 
Note: 

Init E (V) = -0.78
Sample Interval (s) = 5
Run Time (sec) = 2.5e+4
Quiet Time (sec) = 0
Sensitivity (A/V) = 1e-4

Time/s	i1/A	i2/A	i3/A	i4/A	i5/A	i6/A	i7/A	i8/A
9.980e+3	6.371e-5	3.855e-6	3.878e-6	5.338e-6	-1.590e-5	-1.575e-6	-2.219e-6	-5.737e-6
9.985e+3	6.407e-5	3.860e-6	3.924e-6	5.409e-6	-1.496e-5	-1.582e-6	-2.231e-6	-5.932e-6
9.990e+3	6.497e-5	3.877e-6	3.836e-6	5.327e-6	-1.424e-5	-1.589e-6	-2.232e-6	-5.771e-6
9.995e+3	6.523e-5	3.860e-6	3.866e-6	5.406e-6	-1.383e-5	-1.572e-6	-2.244e-6	-5.365e-6
1.000e+4	6.512e-5	3.907e-6	3.890e-6	5.356e-6	-1.336e-5	-1.574e-6	-2.238e-6	-6.029e-6
1.001e+4	6.565e-5	1.034e-5	3.844e-6	5.303e-6	-1.294e-5	-1.574e-6	-2.223e-6	-5.785e-6
1.001e+4	6.573e-5	5.773e-5	3.906e-6	5.365e-6	-1.259e-5	-1.582e-6	-2.238e-6	-4.918e-6
1.002e+4	6.568e-5	6.770e-5	3.871e-6	5.357e-6	-1.240e-5	-1.576e-6	-2.241e-6	-5.727e-6
1.002e+4	6.596e-5	7.820e-5	3.881e-6	5.418e-6	-1.203e-5	-1.571e-6	-2.235e-6	-5.903e-6
1.003e+4	6.575e-5	8.310e-5	3.824e-6	5.380e-6	-1.197e-5	-1.568e-6	-2.244e-6	-5.750e-6
1.003e+4	6.549e-5	8.729e-5	3.871e-6	5.434e-6	-1.174e-5	-5.001e-6	-2.236e-6	-5.349e-6
1.004e+4	6.527e-5	8.913e-5	3.834e-6	5.359e-6	-1.153e-5	-4.906e-6	-2.247e-6	-6.005e-6
1.004e+4	6.526e-5	9.215e-5	3.836e-6	5.434e-6	-1.133e-5	-4.219e-6	-2.244e-6	-5.961e-6
1.005e+4	6.512e-5	9.224e-5	3.823e-6	5.383e-6	-1.106e-5	-4.084e-6	-2.245e-6	-5.431e-6
1.005e+4	6.478e-5	9.392e-5	3.877e-6	5.333e-6	-1.086e-5	-4.111e-6	-2.233e-6	-5.409e-6
